tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L4,xgb,0,2,,,,0.1677474003446763,18.0,,3.0,,,0.5922199328234576,3.5172830560296924,107.0,0.6707595065187708,0.8020984360486816,,
L4,xgb,0,3,,,,0.03913535297780827,18.0,,3.0,,,0.5203153685005116,2.759369398542878,84.0,0.8547944546726949,0.7812689204488517,,
L4,xgb,0,4,,,,0.037160005521606275,6.0,,1.0,,,0.5178790917926408,3.345061293976066,134.0,1.6047491261477194,0.6964154411846551,,
L4,xgb,1,0,,,,0.038791472992396735,12.0,,3.0,,,0.537278368071214,1.0130729526163065,127.0,2.1722915687247695,0.9532488765616571,,
L4,xgb,1,1,,,,0.11035978614886939,12.0,,2.0,,,0.6223284759493247,3.805897709008075,135.0,3.2628104096619786,0.6662305101399851,,
L4,xgb,1,2,,,,0.03904832580216495,18.0,,2.0,,,0.764945539297976,1.3744911860227433,157.0,1.7733678224003908,0.6865508602597722,,
L4,xgb,1,3,,,,0.08758746163640019,6.0,,3.0,,,0.5551779541629067,2.7759873208991337,111.0,2.6261042565593886,0.6180901295828033,,
L4,xgb,1,4,,,,0.20339828658487882,12.0,,4.0,,,0.5194758192430791,1.9288430967066,54.0,3.9454688272164176,0.6321932294216771,,
L4,xgb,2,0,,,,0.09135836416083998,18.0,,4.0,,,0.563191573625079,2.8730953345315378,132.0,14.312466552262952,0.890799479107806,,
L4,xgb,2,1,,,,0.23388309931613194,18.0,,3.0,,,0.6283602459367392,1.1399193016908926,45.0,2.673098053234913,0.796086472469763,,
L4,xgb,2,2,,,,0.026145946123639484,18.0,,3.0,,,0.5235573680740881,2.2443020085776078,152.0,2.9929041373162177,0.8873037969661839,,
L4,xgb,2,3,,,,0.06684811338425785,12.0,,3.0,,,0.7461451771988842,3.3775754082042995,151.0,11.37756740986386,0.6753448193589526,,
