tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L5,xgb,median,1,2,0.9393939393939394,0.889709595959596,151,38,23.950734615325928,cv
L5,xgb,median,1,3,0.9427609427609427,0.8578463203463202,151,38,30.45759916305542,cv
L5,xgb,median,1,4,0.7777777777777778,0.9124037999037998,152,37,16.34615182876587,cv
L5,xgb,median,2,0,0.8892857142857143,0.9258417508417508,151,38,32.80137515068054,cv
L5,xgb,median,2,1,0.8080808080808082,0.9239387926887928,151,38,19.48205065727234,cv
L5,xgb,median,2,2,0.9158249158249158,0.8937049062049061,151,38,30.83596444129944,cv
L5,xgb,median,2,3,0.936026936026936,0.8512370731120731,151,38,21.86068558692932,cv
L5,xgb,median,2,4,0.9333333333333333,0.892812049062049,152,37,21.233997106552124,cv
L4r,xgb,median,0,0,0.9035714285714287,0.9322390572390571,151,38,18.253406286239624,cv
L4r,xgb,median,0,1,0.9528619528619527,0.9327320827320827,151,38,26.22450590133667,cv
L4r,xgb,median,0,2,0.8282828282828283,0.9326659451659451,151,38,27.537434816360474,cv
L4r,xgb,median,0,3,0.9225589225589226,0.9115830928330928,151,38,28.573410987854004,cv
L4r,xgb,median,0,4,0.9296296296296296,0.9089871933621934,152,37,27.384117364883423,cv
L4r,xgb,median,1,0,0.8964285714285714,0.9045454545454545,151,38,13.05625033378601,cv
L4r,xgb,median,1,1,0.9595959595959596,0.8966660654160654,151,38,19.185267448425293,cv
L4r,xgb,median,1,2,0.9562289562289562,0.9245460557960558,151,38,18.634260892868042,cv
L4r,xgb,median,1,3,0.9932659932659933,0.8923671236171236,151,38,13.253246307373047,cv
L4r,xgb,median,1,4,0.7666666666666666,0.9483706108706109,152,37,11.416778326034546,cv
